V1,V2,V3,V4,V5,V6
-0.01194087,-0.01220568,-0.012134389,-0.00494004,-0.011443074,-0.005073899
0.013332594,0.012295742,0.015106138,0.000620018,0.009935041,0.000717104
0.002780274,0.003328761,0.001555877,-0.004298343,-0.001455053,-0.005935114
-0.015717821,-0.014510513,-0.017071433,-0.00094953,-0.010726549,-0.0006442
-0.001380331,0.002353908,-0.00137605,0.002151184,-0.000112655,0.002003019
0.016196444,0.014723623,0.014296833,0.003765019,0.011939575,0.004274282
0.002991655,0.003379064,0.000684603,-0.000558034,4.05E-05,0.000950446
0.014994747,0.01259179,0.021980741,-0.002246315,0.010844859,-0.002745619
0.00312366,0.002119451,0.002131015,0.001501624,0.002865626,0.001915496
-0.00303415,-0.000581176,0.00162161,0.001043954,-0.002749599,0.002443998
0.001884081,0.002716208,0.003054307,0.003161844,0.004163547,0.003545596
-0.012594067,-0.014016744,-0.01654811,-0.005214433,-0.011195637,-0.005481609
0.006452214,0.007669581,0.006933905,-0.003319526,0.009235565,-0.001725474
0.005801112,0.005874902,0.004648432,0.001135629,0.005294863,0.001212327
0.021332915,0.030922948,0.021591989,0.009856089,0.017972249,0.010167904
0.011545101,0.009146765,0.007937072,0.004524322,0.00589178,0.005025789
0.005359599,0.004115985,0.004840261,0.001086385,0.006652277,-0.001197129
0.006377439,0.002053719,0.003018878,0.00615419,0.001150059,0.005846482
0.002584604,0.000517574,0.000820244,0.004094293,0.007619274,0.004422336
0.000286525,0.002177117,0.001131458,-0.003457344,0.002068123,-0.004218181
-0.001041314,-0.001798547,-0.00203258,0.004523,0.00111527,0.010076627
-0.002573601,0.001605749,-0.000343503,0.001849857,-0.001586935,0.002054711
0.004767742,0.003478923,0.003260948,0.00062583,0.000811533,0.000653947
-0.024352787,-0.018073464,-0.02445342,-0.003702196,-0.008274604,-0.005785472
0.004418286,0.012449558,0.011063175,0.000743506,0.009298566,0.001181813
-0.005284029,-0.001878915,-0.00443917,0.000554879,-0.004179091,0.002006603
0.00568288,0.007111794,0.009448244,0.004441852,0.007344481,0.005488765
0.001156728,0.000894053,0.000467176,0.011242097,0.000932428,0.008621708
0.015543788,0.015918588,0.014869844,-0.002436623,0.012400368,0.0009889
0.007761801,0.007826783,0.00815778,0.003826235,0.007945751,0.002801369
-0.000179598,-0.001546164,0.001646577,0.013921692,0.002403338,0.014799961
-0.003658437,-0.004560284,-0.000847901,0.000308742,-0.003437724,-0.001887462
0.000295729,-0.000585557,-0.001567255,0.001135932,0.001051128,0.002816089
-0.021260063,-0.027761083,-0.027445446,-0.00681249,-0.017531055,-0.011592857
-0.007654478,-0.005548315,-0.00517006,-0.001042964,-0.006780162,-0.001204746
-3.51E-05,0.002566418,0.001523297,-0.005127794,-0.004508907,-0.00743451
-0.011830711,-0.013300215,-0.011863652,-0.010385572,-0.013838467,-0.010183277
0.008335597,0.007339789,0.008229039,0.003262151,0.012179631,0.006959782
-0.007004398,-0.002333481,-0.004180916,-0.000794943,-0.000808241,-0.000362834
-0.039633625,-0.036010887,-0.035966154,-0.014737224,-0.035919428,-0.015603186
-0.026062196,-0.021447423,-0.024253696,-0.011133075,-0.016849904,-0.013024141
-0.001638799,0.000606595,3.62E-05,-0.00404034,-0.004757457,-0.004380202
-0.050797235,-0.045359362,-0.048255861,-0.012605999,-0.042971572,-0.013151081
0.026639659,0.021760623,0.025107474,-0.002525139,0.019210251,0.000767635
0.008420894,0.009792848,0.010254108,0.000317165,0.010400495,0.001781717
0.005086662,0.005029032,0.004018513,0.000919503,0.005255291,0.001486779
0.037196835,0.037668371,0.043571084,0.010457062,0.025051092,0.010317419
0.008345057,0.005222976,0.00607012,0.000133751,0.003530085,0.001047004
0.01848507,0.015597766,0.018491855,1.54E-05,0.017582867,0.006164455
-0.009949791,-0.0112484,-0.012139774,0,-0.011714515,-0.001544678
-0.008500765,-0.009885395,-0.007381236,-0.001192188,-0.006333598,-0.004087112
0.005916261,0.012838113,0.009310623,0,0.009292576,0.001176859
-0.010518455,-0.008410427,-0.00586664,0,-0.007953793,-0.000890291
-0.001392375,0.006429087,0.001310027,0,-0.000138082,0.000484747
0.016565359,0.013107461,0.015380669,0.006896259,0.014965497,0.006905846
-0.006975182,-0.006232968,-0.005624081,-0.004949932,-0.007579198,-0.004394809
0.011654633,0.013571015,0.015299686,0.003805633,0.009441693,0.003298855
0.010242933,0.011352082,0.009489351,0.00158082,0.008286117,0.002172652
0.016199836,0.012822139,0.012593519,0.000530903,0.009425967,0.000240928
-0.011419486,-0.010788203,-0.01078765,0,-0.008724592,-0.00072011
-0.004167106,-0.004447306,-0.001691218,-0.004613139,-0.00359648,-0.005810218
0.004918537,0.00753401,0.006160056,-0.000627105,0.003008963,-0.000405022
-0.009414133,-0.008513457,-0.006436381,-0.001798495,-0.010416358,-0.001833883
0.002307766,0.003079407,0.001923698,-0.000467951,0.000996892,0.000657213
0.004730016,0.004423255,0.004772555,0.002965383,0.001904922,0.003503852
-0.005017077,-0.004059873,-0.005167953,-0.000444295,-0.0055542,-0.000921745
-0.010091089,-0.009560951,-0.010930895,-0.001260996,-0.007593006,-0.001262331
-0.028590173,-0.031073084,-0.029314262,-0.014886233,-0.031610248,-0.008401909
