"V1","V2"
-0.0238686244551915,-0.0207777591533311
-0.0257720351706385,-0.0173059000787518
-0.0146888412485148,-0.0134255409639313
-0.0372811844180177,-0.0294128661691214
-0.0370885616450298,-0.0321529618622252
-0.0155159456308968,-0.00622449790453743
-0.0292415118113909,-0.0283878588919321
-0.019563208150729,-0.0176553156329618
-0.0290200869546232,-0.0258378816052863
0.00484913217814343,-0.00758165904295237
-0.0080566301890529,-0.00579020761253527
-0.0255182327055637,-0.0123161580148984
-0.0104689552101925,-0.0126800898460241
-0.0291317387681202,-0.0333638419270127
-0.0198760374287987,-0.012500860599622
-0.0424853263850845,-0.0376801229484301
-0.00451056810475231,0.000130300150082236
-0.076161636760631,-0.0836256933380952
-0.0466459637732935,-0.0423607610757134
-0.124658594460455,-0.105549013608339
-0.0234674951246746,-0.0206176119980982
-0.00245751239450028,-0.00105535412127322
-0.0199758330402044,-0.0173630420590937
-0.0039612573196427,-0.00415899372934683
-0.0324669093892433,-0.0262511971684877
-0.0222019121672708,-0.0162050252679864
-0.0264645635372704,-0.0329056452989556
-0.013509466570238,0.000168917612146003
-0.0210705777634166,-0.0107479240419058
-0.0184734737903677,-0.00819951245976452
-0.00900092616657471,0.00233262781164829
-0.0291243806805167,-0.0142651559072496
-0.0140804424008238,-0.0169051004213071
-0.0175751267906539,-0.0169801075798011
-0.0153176537635619,-0.00488183227850591
-0.0174907810633611,-0.0144147490015577
-0.00330520821962681,-0.00809955859714858
-0.0139189510983953,-0.0164653877248279
-0.0195137899647797,-0.00505976897646953
-0.0132501407006635,-0.00880824802393703
-0.0226379117321494,-0.0191664881296447
-0.0998597448307004,-0.0175666158884527
-0.0235375063983602,-0.0235868039533135
-0.0251581700017543,-0.0255661216115297
-0.0335234704396723,-0.0167934538643378
-0.02837346902152,-0.0211916386886571
-0.0117638641771972,-0.00550063993885859
-0.0228103607520446,-0.0179402817096319
-0.00934022781303904,-0.00803346248259197
-0.0109158353271465,-0.00649461816352617
-0.0275061716838118,-0.0259397257662384
-0.0217739484147065,-0.0193182843360029
-0.00670387249137394,-0.00700802602771172
-0.0162940860579915,-0.0111581455920114
-0.0169543675712718,-0.0215297649574878
-0.027841845676906,-0.0281861370658134
-0.0170810899280659,-0.00867032149889568
-0.0213861291964093,-0.0169387014839742
-0.00752016839585651,-0.000431624579786178
-0.0190076918354536,-0.0172246909877354
-0.0321075305312412,-0.0289703013676684
-0.03021301961339,-0.0195558679334987
-0.0411794300460794,-0.0483421086705636
-0.0338031465226102,-0.0229642309619114
-0.0574534321710471,-0.151090147661669
-0.0545465361898934,-0.0185858823445997
-0.0976493236252851,-0.0455842795247354
-0.0442195001939142,-0.0475188821801605
-0.0348758604772179,-0.0233819639966524
-0.0702499807529124,-0.0118858254545749
-0.0597896318033389,-0.0706388626547012
-0.0316153132264441,-0.0254199585131713
-0.0151176264876734,-0.00465265842613951
-0.0214562332040327,-0.0173999873341435
-0.0356036601263044,-0.0293269100204416
-0.0402250106661532,-0.0466759715310998
-0.0397245711887314,-0.0438926613988256
-0.162529050527377,-0.0582716063668406
-0.0380990076048855,-0.0374514419808097
-0.0209229140916378,-0.018623140599299
-0.0496907652924742,-0.032682603020646
-0.04370016508673,-0.0346847755588305
-0.0390425860535343,-0.0366917243886061
-0.0329731268904384,-0.0169746822034913
-0.0383448131888814,-0.0318780125806973
-0.0389038739497695,-0.0500685664712138
-0.065482171481554,-0.0485548577873183
-0.0375420978862654,-0.0269403843663145
-0.0195412745934744,-0.0210492506870822
-0.0350936043270748,-0.0300075701091789
