"V1","V2","V3","V4"
-0.00434068850783038,-0.00750387210528615,-0.0211116234953266,-0.00660653487623201
-0.00415451675501214,-0.0029288840752091,-0.0244056903504817,-0.00507865803168435
-0.0149697950229258,-0.00535175503742323,-0.0201001283605803,-0.00446536953969112
-0.00787741779728598,-0.00551754735231835,-0.0215908689295968,-0.00629129790619299
-0.00822803640150408,-0.00631078103611274,-0.0214045696475815,-0.00576413894571875
-0.0131951674707149,-0.0042692996203759,-0.0216005327839084,-0.00524552419808368
-0.0153563181531981,-0.00515815302836062,-0.0223099651127038,-0.00583275915372986
-0.0025539904448532,-0.00483101181100029,-0.0201523937147231,-0.00488253018176685
-0.0109647396696262,-0.00845532213903092,-0.0221857905067469,-0.00856946768108334
-0.0114103322091509,-0.00445517660222122,-0.0221579992306227,-0.00787739562112857
-0.00779000781797093,-0.00964763114996887,-0.022502470482645,-0.00723299951452014
-0.00860669619042659,-0.00557027373415548,-0.0213338963983922,-0.00513224198907111
-0.0131859672962444,-0.00434989136318411,-0.0224874406081634,-0.00429155007395559
0.00799413114995111,-0.00853807995652988,-0.0253758370047004,-0.00818361431669166
-0.0123761766268766,-0.00450056258586144,-0.0252730467587845,-0.00541887288511522
-0.00429104693387123,-0.00732146023063851,-0.0209462874443819,-0.00590360240043532
-0.0258214077244878,-0.00360055139485789,-0.0258667736097693,-0.00742587861525279
-0.0218147649675928,-0.0037909838736526,-0.0246042512769812,-0.00499644944301963
-0.0261067988987099,-0.00339100117046454,-0.0264800334716095,-0.00648315054714918
-0.0278488568578903,-0.00943627876628103,-0.0244816264251486,-0.00745310465411041
-0.0208683524900129,-0.00384897906946975,-0.0283748056156479,-0.00774477710517529
0.000297349070011147,-0.00586814086927634,-0.0207831582733869,-0.00348408623653412
-0.00634611607470511,-0.00438122559841948,-0.0231369912795065,-0.00430092552904115
-0.011977362627793,-0.00744935014311199,-0.0287234884667702,-0.00885554192702043
-0.023184504973342,-0.00498388201639542,-0.024190119443369,-0.00437345655219834
0.0027466742332124,-0.0133799669918417,-0.0302499091781355,-0.014141422450249
-0.00799787618249959,-0.00386901985312471,-0.0257454427377986,-0.00766405102441579
-0.0358571724214257,-0.0118147275646381,-0.0288510683853215,-0.0131798536396674
-0.0339762209594979,-0.00836937169775043,-0.0289468951895112,-0.0107377449698749
-0.0156545932347812,-0.00574710714449561,-0.0267903276607067,-0.00790143785794908
-0.009259166638869,-0.00928381204253118,-0.0285295516966378,-0.014422277512445
-0.00474562850218529,-0.00355697866694678,-0.0301888579383562,-0.00710963395521287
-0.00902076589188221,-0.00445683410531638,-0.0283531105580911,-0.00719930989185036
-0.0107057658785578,-0.0116356445345964,-0.0300123882916796,-0.0131214417112951
-0.0205837126289129,-0.00378617196306352,-0.0256043975690147,-0.00564001617423122
0.137452412169937,-0.00640622920266593,-0.0182881546141519,-0.000386373833866007
-0.00459098741541834,-0.00369743029329985,-0.0231936583712315,-0.00501333929162064
-0.0199927225372162,-0.0039184285917791,-0.0247810973052901,-0.00382278451629714
-0.0211670935370936,-0.0140036202534041,-0.0280212788901569,-0.0141617661645819
0.0012079568829806,-0.00784548795070505,-0.0227723563698278,-0.00539305544751994
0.0268726486288466,-0.00866312382147994,-0.024768231959618,-0.00759087575431929
-0.00564086894775478,-0.00688427358012186,-0.0254116998309523,-0.00571514819124202
-0.00928425495440137,-0.00264163173778009,-0.023046151068475,-0.00156335016380196
-0.029523092711057,-0.00615776396039943,-0.0278125556307452,-0.00763479735780094
-0.0151371861440821,-0.00592775713643476,-0.0280451912109632,-0.0066074623069001
-0.0397446841288732,-0.0074053668134274,-0.0288526619718727,-0.0103199389256625
-0.0061731412815566,-0.010851735195795,-0.0292437616205967,-0.0123383367626322
-0.00673751137540413,-0.00449642142157422,-0.027880935797887,-0.00730916094047216
0,0,0,0
-0.0274166082422548,-0.0106293779298649,-0.0316932009364599,-0.0114336499955462
-0.0153984622438551,-0.00889926048157739,-0.0280252849347726,-0.00864009245041625
-0.00419955776207072,-0.0106702610376139,-0.0293729488172247,-0.0104226333179588
-0.0233880279920925,-0.00775506625437521,-0.0256877494029835,-0.0077177140865909
-0.0114770978877967,-0.00794307471628863,-0.0300213209591058,-0.0096396725228281
-0.0112667035902158,-0.00354156201387267,-0.0279494181238747,-0.00568616035549944
-0.00911516873741135,-0.00453143690733621,-0.0297843777843519,-0.00970802759457392
-0.0118676649754367,-0.0133605851080698,-0.0315750089345758,-0.0160993556533267
-0.0407982120787245,-0.00896270562171533,-0.0263409959318895,-0.00797552714791999
-0.0113578759647048,-0.00958089533541333,-0.0288990197706607,-0.00972551955179921
-0.0128324757359163,-0.00459788481729612,-0.0259444346254814,-0.00723179872229534
-0.0318077209749353,-0.0100592270804348,-0.0300680746531925,-0.012942842774889
0.00152471454136162,-0.00883832375626382,-0.0242620024578894,-0.00821785243293783
-0.0230319749173676,-0.00703031053685444,-0.0264677707662801,-0.00628845894314982
-0.0209888895078455,-0.00498133949534954,-0.027874585082425,-0.0123790707737239
-0.0177727388408969,-0.00756332753241198,-0.0252301322504999,-0.00852601500873911
-0.0073322818288175,-0.00658458103710862,-0.030274749150809,-0.0118287509206798
-0.00656435073887324,-0.00560508832879323,-0.0264609058993686,-0.00665598754840986
-0.00760855156211037,-0.00387116634634504,-0.0257942498385517,-0.00525426432706684
-0.0213410978193713,-0.0061178288648286,-0.0241704831289778,-0.00595249184978863
-0.00975465281483555,-0.00355351257285804,-0.0289538201712225,-0.0105429460871733
-0.0150156555168984,-0.00536950132303532,-0.026423627528286,-0.00890132943130826
-0.00173284392252947,-0.00731526019451865,-0.0253517822387057,-0.00584083988633942
-0.0197701072884241,-0.0048414038625162,-0.0273708641640513,-0.008374099576046
-0.0230625330779052,-0.0102204061115431,-0.0291669536342277,-0.011455432770076
-0.0201265658752862,-0.00580369100414988,-0.0291957678082449,-0.00971574628399126
-0.0092243928356126,-0.00499259275624952,-0.030479536992824,-0.0109858461558061
-0.0409798796550021,-0.0048643743937057,-0.0281609869141174,-0.00609999983503253
-0.0147877566532534,-0.00566548951243871,-0.0259584354211345,-0.00720336133068812
-0.00406382164319623,-0.00563230592783705,-0.0284458085510944,-0.00845725876657638
-0.00257142983352442,-0.00271611759962779,-0.0269931177537701,-0.00462859013157126
0.000787302494558202,-0.00487432587217328,-0.0241069238848902,-0.00793574328003835
-0.0172197632731987,-0.00453357312403992,-0.0279365272027273,-0.0100032063216201
-0.00568949414557137,-0.0040670762947083,-0.0220170603216567,-0.00664738568583041
-0.00855693974546327,-0.00432829507384091,-0.0252462505553182,-0.00477232319660433
-0.0202945542755892,-0.00634765914189666,-0.0260688857430363,-0.00882449293652203
-0.0158304525178895,-0.00555390688445606,-0.0251575828540176,-0.00630163074823391
-0.0215110178286299,-0.0113606188229859,-0.0267028557788359,-0.0108500017985252
-0.0211811167344581,-0.002590725026159,-0.0300283931330364,-0.00768429463136203
0.0100714466333894,-0.0178828458142462,-0.0338559866274229,-0.0174335518738034
0.0166682714777327,-0.00509548478005144,-0.0249364729604148,-0.00355935321143463
-0.0296104879801445,-0.00398769351259367,-0.0320605459294859,-0.00654263933436267
-0.0230478896131215,-0.00615203242273556,-0.0307522786225713,-0.0069700302918924
-0.0320905125748556,-0.0130206267922156,-0.0336473797644117,-0.0184346165206212
-0.00241120167110713,-0.0035966359353338,-0.0300339657909667,-0.00515957322239324
-0.00578681020064804,-0.00492217852787347,-0.0291282611471794,-0.008735661577615
-0.00610493632154533,-0.00860582643122162,-0.0269303930309982,-0.00943658420394574
-0.0322593663396747,-0.0128374258851491,-0.0334800669965603,-0.0154409303243157
-0.0502411985174609,-0.0134977705461609,-0.0310258054938112,-0.0139837085697164
-0.0336889784126131,-0.0135305830101931,-0.0328332622830258,-0.0149397822722398
-0.0314853885960638,-0.0126866084012557,-0.0353966761343813,-0.018227975180376
-0.00754909742302966,-0.0117263229301258,-0.0306985545114726,-0.0143363891222721
-0.0185830473946493,-0.00878029778953636,-0.0313762987264463,-0.0128340416700209
-0.0112768564120234,-0.0103186932460712,-0.0278597063221661,-0.00964247485712574
-0.0283043638392204,-0.0106264802434438,-0.0283959968928356,-0.00926513907582561
-0.014507652955184,-0.00935285216878785,-0.0297712204119294,-0.0126764836698003
-0.0274475258437144,-0.00442261743300482,-0.0317226355585725,-0.0096741094708388
-0.0215988515137884,-0.0098118884151517,-0.0316826185515949,-0.0141322776976536
-0.0110881106174693,-0.00651850569848584,-0.0363676549970493,-0.0146740236264758
-0.0286046048694348,-0.00609314420244634,-0.0317196881292347,-0.00765401913676899
-0.0105939545057421,-0.00848176494361965,-0.0287336637369692,-0.0130955344981629
-0.0323489227428623,-0.00837823344370192,-0.0356961273848637,-0.0148550496729765
-0.0280155899560412,-0.00970580276518867,-0.0331089728669418,-0.0133690028031146
-0.0178543578301376,-0.00626225776289571,-0.0313344872607065,-0.00984724459286381
-0.0334243300287912,-0.00790813950568903,-0.0313037805129056,-0.0139831979007297
-0.00802861976005539,-0.00409192870359559,-0.0269138116861369,-0.00693430740552731
-0.0170004569842613,-0.00435170120222308,-0.0290063866236562,-0.00668131623026531
-0.0017925004501167,-0.00595920308901958,-0.0306616756144277,-0.0100392386608741
-0.0357921371828165,-0.0106812927578856,-0.0310890415028455,-0.011675071613271
-0.0174029127442889,-0.00545477873193998,-0.0276878118909993,-0.00711384154823023
-0.00471011713976107,-0.00373443192191708,-0.0243999724996094,-0.00405288842774994
-0.0243571566930392,-0.00380381730384565,-0.0323489170451431,-0.0121647758745876
-0.0245635553336681,-0.0101953939512402,-0.0296918756187631,-0.0151488999077522
-0.0265755833935124,-0.00685031752387634,-0.0328504903468072,-0.0194398893584163
-0.0231239047099381,-0.0110039592650297,-0.0282612680345189,-0.00852600379501053
-0.0167278408561137,-0.00654136781928348,-0.0304620475724978,-0.0150030446959146
-0.0222588861870964,-0.0110802076590789,-0.0332037530491879,-0.016161914461299
-0.0191579072489664,-0.00996269161453609,-0.0357184063612742,-0.0179422666819081
-0.00618738071850745,-0.0127776435024361,-0.0285391363337018,-0.0135696961509423
-0.0273273235885638,-0.009810982849388,-0.0321505706677369,-0.0123394256464234
-0.0575025846490799,-0.0101618882068349,-0.0356432343351614,-0.0143753092549523
-0.0238597440727354,-0.00843974003368004,-0.0326709614055916,-0.0168934050789914
-0.0146918309119943,-0.00846197776327445,-0.0270637566672495,-0.0101153696146396
-0.0179557295274362,-0.00998805589231347,-0.0297823062408101,-0.0117735537774011
-0.0240910190551661,-0.00759795092785899,-0.0311417904393211,-0.014333766459236
-0.0135522765384304,-0.00640275513706659,-0.0256011142244712,-0.0103532537848591
-0.0342172025970609,-0.00728124142077473,-0.029627978913556,-0.0107138663703181
-0.0139595842382641,-0.00798372484301633,-0.028065174682795,-0.0115079089359844
-0.0353682036140508,-0.00493819692281829,-0.0320706898862303,-0.01464069232529
-0.033946089742357,-0.00779150365262765,-0.0331964712577916,-0.0138491816394697
-0.0240469875656997,-0.00659689825428742,-0.0288389791007205,-0.0126595830902602
-0.0142572961570861,-0.00553595696262375,-0.0293129239068624,-0.0136005203778587
-0.0207128422752308,-0.00301805360248635,-0.0286160360011221,-0.0112650021825488
-0.0211523065325945,-0.00970858650599076,-0.0306606302820106,-0.0154546034063756
-0.0209564850895533,-0.00630249082486742,-0.0292083620951381,-0.0131405915285867
-0.0289057417426723,-0.00892945794397746,-0.0315524748674668,-0.0135162172893797
-0.0174376404639668,-0.0111135266788081,-0.0298592472188179,-0.0136453951400189
-0.012155602626464,-0.00548575536256732,-0.0284921405988488,-0.0135649730128414
-0.0175540166812766,-0.00724514294722567,-0.0263301310860432,-0.0103282905319566
0.00119075229965341,-0.00848923330309229,-0.0285579113609922,-0.0152799179131208
-0.0170228586878192,-0.008458573324765,-0.0307786200682284,-0.0154951346180987
-0.0172778234025089,-0.0094478445348871,-0.0288083547093102,-0.0145860030512232
-0.00653545293241852,-0.00526692132316998,-0.0343859615799729,-0.0168484655572371
